"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L13228","streamWasClosed","org.junit.jupiter.params.ParameterizedTestExtensionTests.streamWasClosed;Z","L13225","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-params\src\test\java\org\junit\jupiter\params\ParameterizedTestExtensionTests.java","41","2","41","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13426","KEY","org.junit.jupiter.extensions.TempDirectory.KEY;Ljava/lang/String;","L13422","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\platform-tests\src\test\java\org\junit\jupiter\extensions\TempDirectory.java","43","2","43","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13508","serialVersionUID","org.junit.platform.commons.JUnitException.serialVersionUID;J","L3364","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-platform-commons\src\main\java\org\junit\platform\commons\JUnitException.java","26","2","26","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16676","commandLineOptionsParser","org.junit.platform.console.ConsoleLauncher.commandLineOptionsParser;Lorg/junit/platform/console/options/CommandLineOptionsParser;","L16639","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-platform-console\src\main\java\org\junit\platform\console\ConsoleLauncher.java","50","2","50","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16677","outStream","org.junit.platform.console.ConsoleLauncher.outStream;Ljava/io/PrintStream;","L16639","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-platform-console\src\main\java\org\junit\platform\console\ConsoleLauncher.java","51","2","51","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16678","errStream","org.junit.platform.console.ConsoleLauncher.errStream;Ljava/io/PrintStream;","L16639","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-platform-console\src\main\java\org\junit\platform\console\ConsoleLauncher.java","52","2","52","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16679","charset","org.junit.platform.console.ConsoleLauncher.charset;Ljava/nio/charset/Charset;","L16639","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-platform-console\src\main\java\org\junit\platform\console\ConsoleLauncher.java","53","2","53","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16742","SUCCESS","org.junit.platform.console.ConsoleLauncherExecutionResult.SUCCESS;I","L16653","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-platform-console\src\main\java\org\junit\platform\console\ConsoleLauncherExecutionResult.java","29","2","29","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16744","TEST_FAILED","org.junit.platform.console.ConsoleLauncherExecutionResult.TEST_FAILED;I","L16653","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-platform-console\src\main\java\org\junit\platform\console\ConsoleLauncherExecutionResult.java","34","2","34","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16746","FAILED","org.junit.platform.console.ConsoleLauncherExecutionResult.FAILED;I","L16653","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-platform-console\src\main\java\org\junit\platform\console\ConsoleLauncherExecutionResult.java","39","2","39","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
