"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L7429","ThrowableCollector.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/execution/ThrowableCollector.java","L7417","4","0","6","0","41","120"
"L8513","DisabledCondition.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/extension/DisabledCondition.java","L8512","2","0","0","0","24","54"
"L8514","ExtensionRegistry.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/extension/ExtensionRegistry.java","L8512","6","0","7","0","105","247"
"L8515","package-info.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/extension/package-info.java","L8512","1","0","0","0","1","6"
"L8516","RepeatedTestDisplayNameFormatter.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/extension/RepeatedTestDisplayNameFormatter.java","L8512","1","0","0","0","19","42"
"L8517","RepeatedTestExtension.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/extension/RepeatedTestExtension.java","L8512","1","0","0","0","40","69"
"L8518","RepeatedTestInvocationContext.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/extension/RepeatedTestInvocationContext.java","L8512","1","0","0","0","24","50"
"L8519","RepetitionInfoParameterResolver.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/extension/RepetitionInfoParameterResolver.java","L8512","1","0","0","0","45","77"
"L8520","TestInfoParameterResolver.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/extension/TestInfoParameterResolver.java","L8512","2","0","0","0","59","94"
"L8521","TestReporterParameterResolver.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/extension/TestReporterParameterResolver.java","L8512","1","0","0","0","15","36"
"L6691","IsInnerClass.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/predicates/IsInnerClass.java","L6690","3","0","1","1","19","43"
"L6692","IsNestedTestClass.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/predicates/IsNestedTestClass.java","L6690","2","0","1","1","17","41"
"L6693","IsPotentialTestContainer.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/predicates/IsPotentialTestContainer.java","L6690","5","0","1","1","22","46"
"L6694","IsScannableTestClass.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/predicates/IsScannableTestClass.java","L6690","2","0","1","1","16","41"
"L6695","IsTestableMethod.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/predicates/IsTestableMethod.java","L6690","5","0","0","0","33","56"
"L6696","IsTestClassWithTests.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/predicates/IsTestClassWithTests.java","L6690","3","0","0","0","26","57"
"L6697","IsTestFactoryMethod.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/predicates/IsTestFactoryMethod.java","L6690","1","0","1","1","10","34"
"L6698","IsTestMethod.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/predicates/IsTestMethod.java","L6690","1","0","1","1","10","31"
"L6699","IsTestTemplateMethod.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/predicates/IsTestTemplateMethod.java","L6690","1","0","1","1","10","31"
"L6700","package-info.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/predicates/package-info.java","L6690","1","0","0","0","1","6"
"L1210","AfterAll.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-api/src/main/java/org/junit/jupiter/api/AfterAll.java","L1209","1","0","1","0","14","68"
"L1211","AfterEach.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-api/src/main/java/org/junit/jupiter/api/AfterEach.java","L1209","1","0","1","0","14","64"
"L1212","AssertAll.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-api/src/main/java/org/junit/jupiter/api/AssertAll.java","L1209","2","0","0","0","40","71"
"L1213","AssertArrayEquals.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-api/src/main/java/org/junit/jupiter/api/AssertArrayEquals.java","L1209","61","0","0","0","340","444"
